uri,followers,genres,name,popularity
spotify:artist:7oPftvlwr6VrsViSDV7fJY,9684039,"['permanent wave', 'pop punk', 'punk', 'rock']",Green Day,83
spotify:artist:738wLrAtLtCtFOLvQBXOXp,5743317,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop rap']",Major Lazer,83
spotify:artist:1VPmR4DJC1PlOtd0IADAO0,1661364,"['dark trap', 'new orleans rap', 'underground hip hop']",$uicideBoy$,83
spotify:artist:3e7awlrlDSwF3iM0WBjGMp,6576473,"['dance pop', 'girl group', 'pop', 'post-teen pop', 'talent show', 'uk pop']",Little Mix,83
spotify:artist:2nszmSgqreHSdJA3zWPyrW,4121949,"['bolero', 'latin', 'latin pop']",Luis Miguel,83
spotify:artist:0k17h0D3J5VfsdmQ1iZtE9,10600074,"['album rock', 'art rock', 'classic rock', 'progressive rock', 'psychedelic rock', 'rock', 'symphonic rock']",Pink Floyd,83
spotify:artist:2o5jDhtHVPhrJdv3cEQ99Z,4676529,"['big room', 'brostep', 'dance pop', 'edm', 'electro house', 'house', 'pop', 'trance', 'tropical house']",Tiësto,83
spotify:artist:7tYKF4w9nC0nq9CsPZTHyP,2870805,"['hip hop', 'pop', 'pop rap', 'rap']",SZA,83
spotify:artist:0cGUm45nv7Z6M6qdXYQGTX,2854614,"['dance pop', 'pop', 'pop rap', 'post-teen pop', 'r&b', 'rap', 'urban contemporary']",Kehlani,83
spotify:artist:0ZED1XzwlLHW4ZaG4lOT6m,2272561,"['dance pop', 'pop', 'post-teen pop']",Julia Michaels,83
spotify:artist:6XpaIBNiVzIetEPCWDvAFP,4681526,"['dance pop', 'pop', 'r&b', 'urban contemporary']",Whitney Houston,83
spotify:artist:2jku7tDXc6XoB6MO2hFuqg,2539658,"['canadian hip hop', 'hip hop', 'melodic rap', 'pop', 'pop rap', 'rap', 'southern hip hop', 'toronto rap', 'trap']",Tory Lanez,83
spotify:artist:0EmeFodog0BfCgMzAIvKQp,17454489,"['colombian pop', 'dance pop', 'latin', 'latin pop', 'mexican pop', 'pop']",Shakira,83
spotify:artist:3E6xrwgnVfYCrCs0ePERDz,4979768,"['dance pop', 'latin', 'latin hip hop', 'latin pop', 'pop', 'reggaeton', 'reggaeton flow', 'tropical']",Wisin,83
spotify:artist:6VuMaDnrHyPL1p4EHjYLi7,8260354,"['dance pop', 'pop', 'post-teen pop', 'viral pop']",Charlie Puth,83
spotify:artist:7d3WFRME3vBY2cgoP38RDo,3248696,"['melodic rap', 'pop', 'rap', 'trap']",Lil Skies,83
spotify:artist:3q7HBObVc0L8jNeTe5Gofh,5584809,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']",50 Cent,83
spotify:artist:6icQOAFXDZKsumw3YXyusw,5503500,"['atl hip hop', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop']",Lil Yachty,83
spotify:artist:3Isy6kedDrgPYoTS1dazA9,2711614,"['dance pop', 'dancehall', 'pop', 'pop rap']",Sean Paul,83
spotify:artist:4QVBYiagIaa6ZGSPMbybpy,702845,"['latin pop', 'puerto rican pop']",Pedro Capó,83
spotify:artist:45eNHdiiabvmbp4erw26rg,698504,"['edm', 'electropop', 'pop']",ILLENIUM,83
spotify:artist:718COspgdWOnwOFpJHRZHS,1818699,"['contemporary country', 'country road']",Luke Combs,83
